district,year,case,fire_count
강남구,2006,기타,50.0
강남구,2006,방화,27.0
강남구,2006,소계,296.0
강남구,2006,실화,219.0
강남구,2007,기타,54.0
강남구,2007,방화,27.0
강남구,2007,소계,265.0
강남구,2007,실화,184.0
강남구,2008,기타,17.0
강남구,2008,방화,53.0
강남구,2008,소계,393.0
강남구,2008,실화,323.0
강남구,2009,기타,25.0
강남구,2009,방화,24.0
강남구,2009,소계,367.0
강남구,2009,실화,318.0
강남구,2010,기타,28.0
강남구,2010,방화,22.0
강남구,2010,소계,372.0
강남구,2010,실화,322.0
강남구,2011,기타,32.0
강남구,2011,방화,26.0
강남구,2011,소계,420.0
강남구,2011,실화,362.0
강남구,2012,기타,38.0
강남구,2012,방화,17.0
강남구,2012,소계,385.0
강남구,2012,실화,330.0
강남구,2013,기타,22.0
강남구,2013,방화,10.0
강남구,2013,소계,421.0
강남구,2013,실화,389.0
강남구,2014,기타,27.0
강남구,2014,방화,14.0
강남구,2014,소계,427.0
강남구,2014,실화,386.0
강남구,2015,기타,27.0
강남구,2015,방화,10.0
강남구,2015,소계,504.0
강남구,2015,실화,467.0
강남구,2016,기타,30.0
강남구,2016,방화,8.0
강남구,2016,소계,589.0
강남구,2016,실화,551.0
강남구,2017,기타,27.0
강남구,2017,방화,6.0
강남구,2017,소계,502.0
강남구,2017,실화,469.0
강남구,2018,기타,30.0
강남구,2018,방화,7.0
강남구,2018,소계,436.0
강남구,2018,실화,399.0
강남구,2019,기타,19.0
강남구,2019,방화,4.0
강남구,2019,소계,456.0
강남구,2019,실화,433.0
강남구,2020,기타,23.0
강남구,2020,방화,4.0
강남구,2020,소계,387.0
강남구,2020,실화,360.0
강남구,2021,기타,29.0
강남구,2021,방화,6.0
강남구,2021,소계,391.0
강남구,2021,실화,356.0
강남구,2022,기타,26.0
강남구,2022,방화,9.0
강남구,2022,소계,437.0
강남구,2022,실화,402.0
강남구,2023,기타,34.0
강남구,2023,방화,3.0
강남구,2023,소계,422.0
강남구,2023,실화,385.0
강동구,2006,기타,17.0
강동구,2006,방화,24.0
강동구,2006,소계,169.0
강동구,2006,실화,128.0
강동구,2007,기타,75.0
강동구,2007,방화,23.0
강동구,2007,소계,233.0
강동구,2007,실화,135.0
강동구,2008,기타,25.0
강동구,2008,방화,37.0
강동구,2008,소계,253.0
강동구,2008,실화,191.0
강동구,2009,기타,45.0
강동구,2009,방화,22.0
강동구,2009,소계,252.0
강동구,2009,실화,185.0
강동구,2010,기타,11.0
강동구,2010,방화,38.0
강동구,2010,소계,237.0
강동구,2010,실화,188.0
강동구,2011,기타,6.0
강동구,2011,방화,22.0
강동구,2011,소계,232.0
강동구,2011,실화,204.0
강동구,2012,기타,13.0
강동구,2012,방화,5.0
강동구,2012,소계,263.0
강동구,2012,실화,245.0
강동구,2013,기타,9.0
강동구,2013,방화,8.0
강동구,2013,소계,225.0
강동구,2013,실화,208.0
강동구,2014,기타,9.0
강동구,2014,방화,8.0
강동구,2014,소계,240.0
강동구,2014,실화,223.0
강동구,2015,기타,20.0
강동구,2015,방화,8.0
강동구,2015,소계,264.0
강동구,2015,실화,236.0
강동구,2016,기타,20.0
강동구,2016,방화,5.0
강동구,2016,소계,311.0
강동구,2016,실화,286.0
강동구,2017,기타,26.0
강동구,2017,방화,7.0
강동구,2017,소계,269.0
강동구,2017,실화,236.0
강동구,2018,기타,13.0
강동구,2018,방화,14.0
강동구,2018,소계,324.0
강동구,2018,실화,297.0
강동구,2019,기타,16.0
강동구,2019,방화,5.0
강동구,2019,소계,254.0
강동구,2019,실화,233.0
강동구,2020,기타,14.0
강동구,2020,방화,4.0
강동구,2020,소계,221.0
강동구,2020,실화,203.0
강동구,2021,기타,18.0
강동구,2021,방화,5.0
강동구,2021,소계,211.0
강동구,2021,실화,188.0
강동구,2022,기타,30.0
강동구,2022,방화,2.0
강동구,2022,소계,194.0
강동구,2022,실화,162.0
강동구,2023,기타,21.0
강동구,2023,방화,
강동구,2023,소계,171.0
강동구,2023,실화,150.0
강북구,2006,기타,9.0
강북구,2006,방화,34.0
강북구,2006,소계,154.0
강북구,2006,실화,111.0
강북구,2007,기타,22.0
강북구,2007,방화,38.0
강북구,2007,소계,174.0
강북구,2007,실화,114.0
강북구,2008,기타,18.0
강북구,2008,방화,30.0
강북구,2008,소계,250.0
강북구,2008,실화,202.0
강북구,2009,기타,23.0
강북구,2009,방화,35.0
강북구,2009,소계,242.0
강북구,2009,실화,184.0
강북구,2010,기타,19.0
강북구,2010,방화,19.0
강북구,2010,소계,186.0
강북구,2010,실화,148.0
강북구,2011,기타,19.0
강북구,2011,방화,19.0
강북구,2011,소계,150.0
강북구,2011,실화,112.0
강북구,2012,기타,19.0
강북구,2012,방화,14.0
강북구,2012,소계,201.0
강북구,2012,실화,168.0
강북구,2013,기타,9.0
강북구,2013,방화,9.0
강북구,2013,소계,229.0
강북구,2013,실화,211.0
강북구,2014,기타,8.0
강북구,2014,방화,10.0
강북구,2014,소계,189.0
강북구,2014,실화,171.0
강북구,2015,기타,15.0
강북구,2015,방화,7.0
강북구,2015,소계,178.0
강북구,2015,실화,156.0
강북구,2016,기타,26.0
강북구,2016,방화,9.0
강북구,2016,소계,170.0
강북구,2016,실화,135.0
강북구,2017,기타,9.0
강북구,2017,방화,4.0
강북구,2017,소계,186.0
강북구,2017,실화,173.0
강북구,2018,기타,19.0
강북구,2018,방화,4.0
강북구,2018,소계,203.0
강북구,2018,실화,180.0
강북구,2019,기타,15.0
강북구,2019,방화,3.0
강북구,2019,소계,167.0
강북구,2019,실화,149.0
강북구,2020,기타,16.0
강북구,2020,방화,5.0
강북구,2020,소계,186.0
강북구,2020,실화,165.0
강북구,2021,기타,13.0
강북구,2021,방화,3.0
강북구,2021,소계,146.0
강북구,2021,실화,130.0
강북구,2022,기타,18.0
강북구,2022,방화,7.0
강북구,2022,소계,155.0
강북구,2022,실화,130.0
강북구,2023,기타,11.0
강북구,2023,방화,5.0
강북구,2023,소계,200.0
강북구,2023,실화,184.0
강서구,2006,기타,43.0
강서구,2006,방화,18.0
강서구,2006,소계,244.0
강서구,2006,실화,183.0
강서구,2007,기타,138.0
강서구,2007,방화,31.0
강서구,2007,소계,381.0
강서구,2007,실화,212.0
강서구,2008,기타,18.0
강서구,2008,방화,23.0
강서구,2008,소계,388.0
강서구,2008,실화,347.0
강서구,2009,기타,21.0
강서구,2009,방화,21.0
강서구,2009,소계,309.0
강서구,2009,실화,267.0
강서구,2010,기타,17.0
강서구,2010,방화,15.0
강서구,2010,소계,260.0
강서구,2010,실화,228.0
강서구,2011,기타,16.0
강서구,2011,방화,14.0
강서구,2011,소계,353.0
강서구,2011,실화,323.0
강서구,2012,기타,12.0
강서구,2012,방화,7.0
강서구,2012,소계,282.0
강서구,2012,실화,263.0
강서구,2013,기타,10.0
강서구,2013,방화,11.0
강서구,2013,소계,242.0
강서구,2013,실화,221.0
강서구,2014,기타,16.0
강서구,2014,방화,6.0
강서구,2014,소계,306.0
강서구,2014,실화,284.0
강서구,2015,기타,39.0
강서구,2015,방화,10.0
강서구,2015,소계,301.0
강서구,2015,실화,252.0
강서구,2016,기타,35.0
강서구,2016,방화,2.0
강서구,2016,소계,372.0
강서구,2016,실화,335.0
강서구,2017,기타,29.0
강서구,2017,방화,5.0
강서구,2017,소계,364.0
강서구,2017,실화,330.0
강서구,2018,기타,24.0
강서구,2018,방화,12.0
강서구,2018,소계,383.0
강서구,2018,실화,347.0
강서구,2019,기타,23.0
강서구,2019,방화,6.0
강서구,2019,소계,331.0
강서구,2019,실화,302.0
강서구,2020,기타,17.0
강서구,2020,방화,2.0
강서구,2020,소계,212.0
강서구,2020,실화,193.0
강서구,2021,기타,21.0
강서구,2021,방화,5.0
강서구,2021,소계,223.0
강서구,2021,실화,197.0
강서구,2022,기타,41.0
강서구,2022,방화,1.0
강서구,2022,소계,223.0
강서구,2022,실화,181.0
강서구,2023,기타,50.0
강서구,2023,방화,5.0
강서구,2023,소계,274.0
강서구,2023,실화,219.0
관악구,2006,기타,31.0
관악구,2006,방화,18.0
관악구,2006,소계,151.0
관악구,2006,실화,102.0
관악구,2007,기타,66.0
관악구,2007,방화,44.0
관악구,2007,소계,257.0
관악구,2007,실화,147.0
관악구,2008,기타,26.0
관악구,2008,방화,34.0
관악구,2008,소계,281.0
관악구,2008,실화,221.0
관악구,2009,기타,17.0
관악구,2009,방화,21.0
관악구,2009,소계,259.0
관악구,2009,실화,221.0
관악구,2010,기타,11.0
관악구,2010,방화,15.0
관악구,2010,소계,211.0
관악구,2010,실화,185.0
관악구,2011,기타,11.0
관악구,2011,방화,29.0
관악구,2011,소계,282.0
관악구,2011,실화,242.0
관악구,2012,기타,16.0
관악구,2012,방화,24.0
관악구,2012,소계,409.0
관악구,2012,실화,369.0
관악구,2013,기타,9.0
관악구,2013,방화,16.0
관악구,2013,소계,299.0
관악구,2013,실화,274.0
관악구,2014,기타,12.0
관악구,2014,방화,14.0
관악구,2014,소계,262.0
관악구,2014,실화,236.0
관악구,2015,기타,23.0
관악구,2015,방화,15.0
관악구,2015,소계,285.0
관악구,2015,실화,247.0
관악구,2016,기타,22.0
관악구,2016,방화,8.0
관악구,2016,소계,314.0
관악구,2016,실화,284.0
관악구,2017,기타,32.0
관악구,2017,방화,15.0
관악구,2017,소계,286.0
관악구,2017,실화,239.0
관악구,2018,기타,27.0
관악구,2018,방화,15.0
관악구,2018,소계,337.0
관악구,2018,실화,295.0
관악구,2019,기타,36.0
관악구,2019,방화,10.0
관악구,2019,소계,311.0
관악구,2019,실화,265.0
관악구,2020,기타,20.0
관악구,2020,방화,4.0
관악구,2020,소계,219.0
관악구,2020,실화,195.0
관악구,2021,기타,28.0
관악구,2021,방화,7.0
관악구,2021,소계,259.0
관악구,2021,실화,224.0
관악구,2022,기타,27.0
관악구,2022,방화,3.0
관악구,2022,소계,305.0
관악구,2022,실화,275.0
관악구,2023,기타,34.0
관악구,2023,방화,3.0
관악구,2023,소계,281.0
관악구,2023,실화,244.0
광진구,2006,기타,22.0
광진구,2006,방화,42.0
광진구,2006,소계,183.0
광진구,2006,실화,119.0
광진구,2007,기타,83.0
광진구,2007,방화,49.0
광진구,2007,소계,265.0
광진구,2007,실화,133.0
광진구,2008,기타,13.0
광진구,2008,방화,16.0
광진구,2008,소계,207.0
광진구,2008,실화,178.0
광진구,2009,기타,20.0
광진구,2009,방화,21.0
광진구,2009,소계,233.0
광진구,2009,실화,192.0
광진구,2010,기타,9.0
광진구,2010,방화,20.0
광진구,2010,소계,169.0
광진구,2010,실화,140.0
광진구,2011,기타,14.0
광진구,2011,방화,13.0
광진구,2011,소계,166.0
광진구,2011,실화,139.0
광진구,2012,기타,20.0
광진구,2012,방화,13.0
광진구,2012,소계,217.0
광진구,2012,실화,184.0
광진구,2013,기타,11.0
광진구,2013,방화,7.0
광진구,2013,소계,214.0
광진구,2013,실화,196.0
광진구,2014,기타,13.0
광진구,2014,방화,10.0
광진구,2014,소계,244.0
광진구,2014,실화,221.0
광진구,2015,기타,19.0
광진구,2015,방화,4.0
광진구,2015,소계,241.0
광진구,2015,실화,218.0
광진구,2016,기타,27.0
광진구,2016,방화,2.0
광진구,2016,소계,215.0
광진구,2016,실화,186.0
광진구,2017,기타,9.0
광진구,2017,방화,3.0
광진구,2017,소계,200.0
광진구,2017,실화,188.0
광진구,2018,기타,26.0
광진구,2018,방화,2.0
광진구,2018,소계,203.0
광진구,2018,실화,175.0
광진구,2019,기타,24.0
광진구,2019,방화,5.0
광진구,2019,소계,195.0
광진구,2019,실화,166.0
광진구,2020,기타,14.0
광진구,2020,방화,3.0
광진구,2020,소계,186.0
광진구,2020,실화,169.0
광진구,2021,기타,15.0
광진구,2021,방화,3.0
광진구,2021,소계,205.0
광진구,2021,실화,187.0
광진구,2022,기타,12.0
광진구,2022,방화,2.0
광진구,2022,소계,145.0
광진구,2022,실화,131.0
광진구,2023,기타,12.0
광진구,2023,방화,1.0
광진구,2023,소계,193.0
광진구,2023,실화,180.0
구로구,2006,기타,34.0
구로구,2006,방화,18.0
구로구,2006,소계,152.0
구로구,2006,실화,100.0
구로구,2007,기타,21.0
구로구,2007,방화,20.0
구로구,2007,소계,171.0
구로구,2007,실화,130.0
구로구,2008,기타,18.0
구로구,2008,방화,36.0
구로구,2008,소계,231.0
구로구,2008,실화,177.0
구로구,2009,기타,17.0
구로구,2009,방화,33.0
구로구,2009,소계,182.0
구로구,2009,실화,132.0
구로구,2010,기타,17.0
구로구,2010,방화,18.0
구로구,2010,소계,159.0
구로구,2010,실화,124.0
구로구,2011,기타,11.0
구로구,2011,방화,16.0
구로구,2011,소계,194.0
구로구,2011,실화,167.0
구로구,2012,기타,19.0
구로구,2012,방화,15.0
구로구,2012,소계,213.0
구로구,2012,실화,179.0
구로구,2013,기타,13.0
구로구,2013,방화,10.0
구로구,2013,소계,238.0
구로구,2013,실화,215.0
구로구,2014,기타,18.0
구로구,2014,방화,11.0
구로구,2014,소계,180.0
구로구,2014,실화,151.0
구로구,2015,기타,18.0
구로구,2015,방화,7.0
구로구,2015,소계,221.0
구로구,2015,실화,196.0
구로구,2016,기타,20.0
구로구,2016,방화,5.0
구로구,2016,소계,247.0
구로구,2016,실화,222.0
구로구,2017,기타,19.0
구로구,2017,방화,3.0
구로구,2017,소계,260.0
구로구,2017,실화,238.0
구로구,2018,기타,14.0
구로구,2018,방화,11.0
구로구,2018,소계,263.0
구로구,2018,실화,238.0
구로구,2019,기타,10.0
구로구,2019,방화,6.0
구로구,2019,소계,247.0
구로구,2019,실화,231.0
구로구,2020,기타,11.0
구로구,2020,방화,3.0
구로구,2020,소계,156.0
구로구,2020,실화,142.0
구로구,2021,기타,22.0
구로구,2021,방화,4.0
구로구,2021,소계,173.0
구로구,2021,실화,147.0
구로구,2022,기타,22.0
구로구,2022,방화,6.0
구로구,2022,소계,222.0
구로구,2022,실화,194.0
구로구,2023,기타,19.0
구로구,2023,방화,2.0
구로구,2023,소계,200.0
구로구,2023,실화,179.0
금천구,2006,기타,39.0
금천구,2006,방화,11.0
금천구,2006,소계,108.0
금천구,2006,실화,58.0
금천구,2007,기타,35.0
금천구,2007,방화,10.0
금천구,2007,소계,113.0
금천구,2007,실화,68.0
금천구,2008,기타,15.0
금천구,2008,방화,24.0
금천구,2008,소계,167.0
금천구,2008,실화,128.0
금천구,2009,기타,13.0
금천구,2009,방화,10.0
금천구,2009,소계,147.0
금천구,2009,실화,124.0
금천구,2010,기타,10.0
금천구,2010,방화,16.0
금천구,2010,소계,116.0
금천구,2010,실화,90.0
금천구,2011,기타,15.0
금천구,2011,방화,13.0
금천구,2011,소계,161.0
금천구,2011,실화,133.0
금천구,2012,기타,10.0
금천구,2012,방화,4.0
금천구,2012,소계,164.0
금천구,2012,실화,150.0
금천구,2013,기타,14.0
금천구,2013,방화,6.0
금천구,2013,소계,144.0
금천구,2013,실화,124.0
금천구,2014,기타,12.0
금천구,2014,방화,4.0
금천구,2014,소계,126.0
금천구,2014,실화,110.0
금천구,2015,기타,14.0
금천구,2015,방화,4.0
금천구,2015,소계,131.0
금천구,2015,실화,113.0
금천구,2016,기타,10.0
금천구,2016,방화,11.0
금천구,2016,소계,173.0
금천구,2016,실화,152.0
금천구,2017,기타,8.0
금천구,2017,방화,4.0
금천구,2017,소계,174.0
금천구,2017,실화,162.0
금천구,2018,기타,7.0
금천구,2018,방화,3.0
금천구,2018,소계,168.0
금천구,2018,실화,158.0
금천구,2019,기타,7.0
금천구,2019,방화,5.0
금천구,2019,소계,141.0
금천구,2019,실화,129.0
금천구,2020,기타,13.0
금천구,2020,방화,6.0
금천구,2020,소계,127.0
금천구,2020,실화,108.0
금천구,2021,기타,9.0
금천구,2021,방화,1.0
금천구,2021,소계,118.0
금천구,2021,실화,108.0
금천구,2022,기타,20.0
금천구,2022,방화,1.0
금천구,2022,소계,214.0
금천구,2022,실화,193.0
금천구,2023,기타,14.0
금천구,2023,방화,4.0
금천구,2023,소계,192.0
금천구,2023,실화,174.0
노원구,2006,기타,36.0
노원구,2006,방화,46.0
노원구,2006,소계,220.0
노원구,2006,실화,138.0
노원구,2007,기타,91.0
노원구,2007,방화,48.0
노원구,2007,소계,296.0
노원구,2007,실화,157.0
노원구,2008,기타,30.0
노원구,2008,방화,33.0
노원구,2008,소계,299.0
노원구,2008,실화,236.0
노원구,2009,기타,12.0
노원구,2009,방화,45.0
노원구,2009,소계,335.0
노원구,2009,실화,278.0
노원구,2010,기타,9.0
노원구,2010,방화,34.0
노원구,2010,소계,228.0
노원구,2010,실화,185.0
노원구,2011,기타,7.0
노원구,2011,방화,27.0
노원구,2011,소계,199.0
노원구,2011,실화,165.0
노원구,2012,기타,6.0
노원구,2012,방화,17.0
노원구,2012,소계,234.0
노원구,2012,실화,211.0
노원구,2013,기타,7.0
노원구,2013,방화,14.0
노원구,2013,소계,260.0
노원구,2013,실화,239.0
노원구,2014,기타,11.0
노원구,2014,방화,12.0
노원구,2014,소계,252.0
노원구,2014,실화,229.0
노원구,2015,기타,20.0
노원구,2015,방화,13.0
노원구,2015,소계,241.0
노원구,2015,실화,208.0
노원구,2016,기타,22.0
노원구,2016,방화,12.0
노원구,2016,소계,278.0
노원구,2016,실화,244.0
노원구,2017,기타,22.0
노원구,2017,방화,6.0
노원구,2017,소계,279.0
노원구,2017,실화,251.0
노원구,2018,기타,18.0
노원구,2018,방화,11.0
노원구,2018,소계,229.0
노원구,2018,실화,200.0
노원구,2019,기타,15.0
노원구,2019,방화,4.0
노원구,2019,소계,203.0
노원구,2019,실화,184.0
노원구,2020,기타,16.0
노원구,2020,방화,4.0
노원구,2020,소계,172.0
노원구,2020,실화,152.0
노원구,2021,기타,15.0
노원구,2021,방화,4.0
노원구,2021,소계,173.0
노원구,2021,실화,154.0
노원구,2022,기타,15.0
노원구,2022,방화,7.0
노원구,2022,소계,169.0
노원구,2022,실화,147.0
노원구,2023,기타,18.0
노원구,2023,방화,10.0
노원구,2023,소계,198.0
노원구,2023,실화,170.0
도봉구,2006,기타,9.0
도봉구,2006,방화,36.0
도봉구,2006,소계,136.0
도봉구,2006,실화,91.0
도봉구,2007,기타,56.0
도봉구,2007,방화,13.0
도봉구,2007,소계,192.0
도봉구,2007,실화,123.0
도봉구,2008,기타,18.0
도봉구,2008,방화,29.0
도봉구,2008,소계,254.0
도봉구,2008,실화,207.0
도봉구,2009,기타,15.0
도봉구,2009,방화,28.0
도봉구,2009,소계,241.0
도봉구,2009,실화,198.0
도봉구,2010,기타,19.0
도봉구,2010,방화,25.0
도봉구,2010,소계,190.0
도봉구,2010,실화,146.0
도봉구,2011,기타,18.0
도봉구,2011,방화,14.0
도봉구,2011,소계,144.0
도봉구,2011,실화,112.0
도봉구,2012,기타,15.0
도봉구,2012,방화,12.0
도봉구,2012,소계,163.0
도봉구,2012,실화,136.0
도봉구,2013,기타,17.0
도봉구,2013,방화,11.0
도봉구,2013,소계,218.0
도봉구,2013,실화,190.0
도봉구,2014,기타,13.0
도봉구,2014,방화,9.0
도봉구,2014,소계,197.0
도봉구,2014,실화,175.0
도봉구,2015,기타,8.0
도봉구,2015,방화,6.0
도봉구,2015,소계,188.0
도봉구,2015,실화,174.0
도봉구,2016,기타,16.0
도봉구,2016,방화,5.0
도봉구,2016,소계,222.0
도봉구,2016,실화,201.0
도봉구,2017,기타,8.0
도봉구,2017,방화,8.0
도봉구,2017,소계,192.0
도봉구,2017,실화,176.0
도봉구,2018,기타,17.0
도봉구,2018,방화,3.0
도봉구,2018,소계,237.0
도봉구,2018,실화,217.0
도봉구,2019,기타,23.0
도봉구,2019,방화,4.0
도봉구,2019,소계,179.0
도봉구,2019,실화,152.0
도봉구,2020,기타,22.0
도봉구,2020,방화,5.0
도봉구,2020,소계,163.0
도봉구,2020,실화,136.0
도봉구,2021,기타,12.0
도봉구,2021,방화,3.0
도봉구,2021,소계,140.0
도봉구,2021,실화,125.0
도봉구,2022,기타,17.0
도봉구,2022,방화,4.0
도봉구,2022,소계,159.0
도봉구,2022,실화,138.0
도봉구,2023,기타,8.0
도봉구,2023,방화,10.0
도봉구,2023,소계,179.0
도봉구,2023,실화,161.0
동대문구,2006,기타,54.0
동대문구,2006,방화,33.0
동대문구,2006,소계,250.0
동대문구,2006,실화,163.0
동대문구,2007,기타,35.0
동대문구,2007,방화,76.0
동대문구,2007,소계,374.0
동대문구,2007,실화,263.0
동대문구,2008,기타,31.0
동대문구,2008,방화,40.0
동대문구,2008,소계,313.0
동대문구,2008,실화,242.0
동대문구,2009,기타,32.0
동대문구,2009,방화,35.0
동대문구,2009,소계,266.0
동대문구,2009,실화,199.0
동대문구,2010,기타,39.0
동대문구,2010,방화,20.0
동대문구,2010,소계,229.0
동대문구,2010,실화,170.0
동대문구,2011,기타,21.0
동대문구,2011,방화,19.0
동대문구,2011,소계,211.0
동대문구,2011,실화,171.0
동대문구,2012,기타,32.0
동대문구,2012,방화,6.0
동대문구,2012,소계,188.0
동대문구,2012,실화,150.0
동대문구,2013,기타,23.0
동대문구,2013,방화,4.0
동대문구,2013,소계,206.0
동대문구,2013,실화,179.0
동대문구,2014,기타,19.0
동대문구,2014,방화,15.0
동대문구,2014,소계,221.0
동대문구,2014,실화,187.0
동대문구,2015,기타,24.0
동대문구,2015,방화,10.0
동대문구,2015,소계,223.0
동대문구,2015,실화,189.0
동대문구,2016,기타,25.0
동대문구,2016,방화,10.0
동대문구,2016,소계,236.0
동대문구,2016,실화,201.0
동대문구,2017,기타,25.0
동대문구,2017,방화,5.0
동대문구,2017,소계,200.0
동대문구,2017,실화,170.0
동대문구,2018,기타,24.0
동대문구,2018,방화,4.0
동대문구,2018,소계,203.0
동대문구,2018,실화,175.0
동대문구,2019,기타,27.0
동대문구,2019,방화,4.0
동대문구,2019,소계,195.0
동대문구,2019,실화,164.0
동대문구,2020,기타,30.0
동대문구,2020,방화,2.0
동대문구,2020,소계,152.0
동대문구,2020,실화,120.0
동대문구,2021,기타,20.0
동대문구,2021,방화,4.0
동대문구,2021,소계,155.0
동대문구,2021,실화,131.0
동대문구,2022,기타,21.0
동대문구,2022,방화,2.0
동대문구,2022,소계,173.0
동대문구,2022,실화,150.0
동대문구,2023,기타,14.0
동대문구,2023,방화,3.0
동대문구,2023,소계,158.0
동대문구,2023,실화,141.0
동작구,2006,기타,10.0
동작구,2006,방화,26.0
동작구,2006,소계,162.0
동작구,2006,실화,126.0
동작구,2007,기타,24.0
동작구,2007,방화,35.0
동작구,2007,소계,229.0
동작구,2007,실화,170.0
동작구,2008,기타,10.0
동작구,2008,방화,30.0
동작구,2008,소계,212.0
동작구,2008,실화,172.0
동작구,2009,기타,13.0
동작구,2009,방화,41.0
동작구,2009,소계,237.0
동작구,2009,실화,183.0
동작구,2010,기타,2.0
동작구,2010,방화,21.0
동작구,2010,소계,226.0
동작구,2010,실화,203.0
동작구,2011,기타,3.0
동작구,2011,방화,18.0
동작구,2011,소계,197.0
동작구,2011,실화,176.0
동작구,2012,기타,3.0
동작구,2012,방화,15.0
동작구,2012,소계,209.0
동작구,2012,실화,191.0
동작구,2013,기타,6.0
동작구,2013,방화,3.0
동작구,2013,소계,159.0
동작구,2013,실화,150.0
동작구,2014,기타,15.0
동작구,2014,방화,10.0
동작구,2014,소계,178.0
동작구,2014,실화,153.0
동작구,2015,기타,16.0
동작구,2015,방화,6.0
동작구,2015,소계,185.0
동작구,2015,실화,163.0
동작구,2016,기타,15.0
동작구,2016,방화,8.0
동작구,2016,소계,215.0
동작구,2016,실화,192.0
동작구,2017,기타,10.0
동작구,2017,방화,6.0
동작구,2017,소계,222.0
동작구,2017,실화,206.0
동작구,2018,기타,12.0
동작구,2018,방화,7.0
동작구,2018,소계,205.0
동작구,2018,실화,186.0
동작구,2019,기타,3.0
동작구,2019,방화,6.0
동작구,2019,소계,208.0
동작구,2019,실화,199.0
동작구,2020,기타,12.0
동작구,2020,방화,3.0
동작구,2020,소계,151.0
동작구,2020,실화,136.0
동작구,2021,기타,8.0
동작구,2021,방화,
동작구,2021,소계,129.0
동작구,2021,실화,121.0
동작구,2022,기타,9.0
동작구,2022,방화,2.0
동작구,2022,소계,187.0
동작구,2022,실화,176.0
동작구,2023,기타,18.0
동작구,2023,방화,2.0
동작구,2023,소계,167.0
동작구,2023,실화,147.0
마포구,2006,기타,39.0
마포구,2006,방화,24.0
마포구,2006,소계,171.0
마포구,2006,실화,108.0
마포구,2007,기타,88.0
마포구,2007,방화,74.0
마포구,2007,소계,324.0
마포구,2007,실화,162.0
마포구,2008,기타,16.0
마포구,2008,방화,41.0
마포구,2008,소계,294.0
마포구,2008,실화,237.0
마포구,2009,기타,16.0
마포구,2009,방화,31.0
마포구,2009,소계,192.0
마포구,2009,실화,145.0
마포구,2010,기타,12.0
마포구,2010,방화,10.0
마포구,2010,소계,179.0
마포구,2010,실화,157.0
마포구,2011,기타,11.0
마포구,2011,방화,9.0
마포구,2011,소계,209.0
마포구,2011,실화,189.0
마포구,2012,기타,21.0
마포구,2012,방화,7.0
마포구,2012,소계,209.0
마포구,2012,실화,181.0
마포구,2013,기타,21.0
마포구,2013,방화,9.0
마포구,2013,소계,226.0
마포구,2013,실화,196.0
마포구,2014,기타,20.0
마포구,2014,방화,6.0
마포구,2014,소계,250.0
