자치구,연도,거주인구,버스승객수,지하철_승객_수,승객수,발생건수,부상자수
강남구,2005,0.0,0.0,0.0,0.0,0.0,0.0
강남구,2006,0.0,0.0,0.0,0.0,0.0,0.0
강남구,2007,0.0,0.0,0.0,0.0,0.0,0.0
강남구,2008,569166.25,0.0,0.0,0.0,0.0,0.0
강남구,2009,569016.75,0.0,0.0,0.0,0.0,0.0
강남구,2010,571914.5,0.0,0.0,0.0,0.0,0.0
강남구,2011,575767.5,0.0,0.0,0.0,0.0,0.0
강남구,2012,569638.5,0.0,0.0,0.0,0.0,0.0
강남구,2013,568740.5,0.0,0.0,0.0,0.0,0.0
강남구,2014,576868.75,0.0,0.0,0.0,0.0,0.0
강남구,2015,582206.0,0.0,0.0,0.0,0.0,0.0
강남구,2016,575597.25,0.0,0.0,0.0,0.0,0.0
강남구,2017,566427.0,7845797.5,12195604.42,20158808.25,289.08,413.25
강남구,2018,551615.25,8236327.08,12361047.25,20799780.58,288.25,413.92
강남구,2019,548432.25,8394474.42,12809706.17,21405125.33,310.17,431.83
강남구,2020,546049.0,8048214.92,12823616.17,20972670.08,312.67,432.42
강남구,2021,537880.0,8234169.08,13110912.58,21420783.83,318.33,431.25
강남구,2022,535784.75,8521249.25,13013053.75,21810990.0,309.08,421.0
강남구,2023,544179.25,8675523.25,14403730.75,23182554.67,327.17,435.75
강동구,2005,0.0,0.0,0.0,0.0,0.0,0.0
강동구,2006,0.0,0.0,0.0,0.0,0.0,0.0
강동구,2007,0.0,0.0,0.0,0.0,0.0,0.0
강동구,2008,471101.0,0.0,0.0,0.0,0.0,0.0
강동구,2009,483631.0,0.0,0.0,0.0,0.0,0.0
강동구,2010,493030.25,0.0,0.0,0.0,0.0,0.0
강동구,2011,501476.0,0.0,0.0,0.0,0.0,0.0
강동구,2012,495034.5,0.0,0.0,0.0,0.0,0.0
강동구,2013,489935.5,0.0,0.0,0.0,0.0,0.0
강동구,2014,484191.75,0.0,0.0,0.0,0.0,0.0
강동구,2015,469446.5,0.0,0.0,0.0,0.0,0.0
강동구,2016,453991.0,0.0,0.0,0.0,0.0,0.0
강동구,2017,448353.0,5059070.25,5013304.92,10172133.17,114.25,156.08
강동구,2018,435546.75,5529851.17,5252570.83,10969606.58,118.17,160.17
강동구,2019,432265.0,5312459.33,5187316.25,10674040.17,117.83,159.17
강동구,2020,461215.5,4724698.08,4145646.33,8938654.67,105.67,133.33
강동구,2021,468094.5,4492219.25,3994293.92,8511835.67,87.25,117.75
강동구,2022,464780.0,2304895.75,3711075.42,7011346.0,95.92,129.42
강동구,2023,463200.75,2432733.58,4011388.25,7211787.58,98.75,126.83
강북구,2005,0.0,0.0,0.0,0.0,0.0,0.0
강북구,2006,0.0,0.0,0.0,0.0,0.0,0.0
강북구,2007,0.0,0.0,0.0,0.0,0.0,0.0
강북구,2008,346440.5,0.0,0.0,0.0,0.0,0.0
강북구,2009,344842.0,0.0,0.0,0.0,0.0,0.0
강북구,2010,345211.25,0.0,0.0,0.0,0.0,0.0
강북구,2011,349186.75,0.0,0.0,0.0,0.0,0.0
강북구,2012,348197.75,0.0,0.0,0.0,0.0,0.0
강북구,2013,343989.75,0.0,0.0,0.0,0.0,0.0
강북구,2014,339671.75,0.0,0.0,0.0,0.0,0.0
강북구,2015,336314.0,0.0,0.0,0.0,0.0,0.0
강북구,2016,332293.0,0.0,0.0,0.0,0.0,0.0
강북구,2017,329310.0,4944611.83,5090890.58,10156226.0,104.25,134.0
강북구,2018,325191.25,5292807.08,5251736.83,10745881.83,101.33,136.08
강북구,2019,319024.5,5164900.0,5420989.58,10776357.67,106.42,142.17
강북구,2020,314316.0,4520198.25,4706511.42,9312326.75,90.58,118.33
강북구,2021,305112.5,4511081.08,4775057.5,9340312.83,84.75,108.5
강북구,2022,299348.5,4834926.83,2529164.42,7349175.08,87.0,105.5
강북구,2023,295122.0,4916811.67,2688836.0,7541783.58,81.0,101.42
강서구,2005,0.0,0.0,0.0,0.0,0.0,0.0
강서구,2006,0.0,0.0,0.0,0.0,0.0,0.0
강서구,2007,0.0,0.0,0.0,0.0,0.0,0.0
강서구,2008,580174.75,0.0,0.0,0.0,0.0,0.0
강서구,2009,582608.0,0.0,0.0,0.0,0.0,0.0
강서구,2010,578182.25,0.0,0.0,0.0,0.0,0.0
강서구,2011,577986.25,0.0,0.0,0.0,0.0,0.0
강서구,2012,574692.5,0.0,0.0,0.0,0.0,0.0
강서구,2013,574508.5,0.0,0.0,0.0,0.0,0.0
강서구,2014,582906.0,0.0,0.0,0.0,0.0,0.0
강서구,2015,595215.25,0.0,0.0,0.0,0.0,0.0
강서구,2016,599344.5,0.0,0.0,0.0,0.0,0.0
강서구,2017,606681.75,5297635.92,4663106.25,10039644.0,132.0,179.58
강서구,2018,606005.25,5572021.5,4915469.92,10641648.17,125.17,184.0
강서구,2019,600907.25,5819497.33,5541402.08,11516103.0,152.42,207.58
강서구,2020,591085.75,5088324.25,4678824.08,9816386.75,131.25,177.58
강서구,2021,581708.0,5070498.42,4838697.42,9925524.17,125.08,170.17
강서구,2022,576835.5,4655610.42,5770031.42,10389827.5,133.83,175.67
강서구,2023,571224.25,4783255.08,6289304.58,10978143.83,126.5,176.0
관악구,2005,0.0,0.0,0.0,0.0,0.0,0.0
관악구,2006,0.0,0.0,0.0,0.0,0.0,0.0
관악구,2007,0.0,0.0,0.0,0.0,0.0,0.0
관악구,2008,553449.25,0.0,0.0,0.0,0.0,0.0
관악구,2009,550744.75,0.0,0.0,0.0,0.0,0.0
관악구,2010,546486.0,0.0,0.0,0.0,0.0,0.0
관악구,2011,548943.25,0.0,0.0,0.0,0.0,0.0
관악구,2012,543777.25,0.0,0.0,0.0,0.0,0.0
관악구,2013,538154.25,0.0,0.0,0.0,0.0,0.0
관악구,2014,533809.25,0.0,0.0,0.0,0.0,0.0
관악구,2015,531299.25,0.0,0.0,0.0,0.0,0.0
관악구,2016,528280.0,0.0,0.0,0.0,0.0,0.0
관악구,2017,523288.0,4876854.92,3939530.08,8903309.08,104.25,138.25
관악구,2018,521494.25,5346175.83,4130588.25,9649101.83,108.33,143.08
관악구,2019,519449.0,5223302.5,4165109.08,9550790.92,113.58,146.25
관악구,2020,514334.5,4948344.42,4336889.42,9349588.5,120.33,151.58
관악구,2021,501964.75,4994857.92,4784526.5,9811081.25,118.25,152.42
관악구,2022,500788.25,7507610.5,7060853.08,14527447.17,97.67,127.92
관악구,2023,500880.75,7440205.25,7563779.33,14877073.33,81.67,104.33
광진구,2005,0.0,0.0,0.0,0.0,0.0,0.0
광진구,2006,0.0,0.0,0.0,0.0,0.0,0.0
광진구,2007,0.0,0.0,0.0,0.0,0.0,0.0
광진구,2008,388065.25,0.0,0.0,0.0,0.0,0.0
광진구,2009,387379.0,0.0,0.0,0.0,0.0,0.0
광진구,2010,386087.75,0.0,0.0,0.0,0.0,0.0
광진구,2011,387923.75,0.0,0.0,0.0,0.0,0.0
광진구,2012,385599.0,0.0,0.0,0.0,0.0,0.0
광진구,2013,382734.25,0.0,0.0,0.0,0.0,0.0
광진구,2014,379486.5,0.0,0.0,0.0,0.0,0.0
광진구,2015,376238.75,0.0,0.0,0.0,0.0,0.0
광진구,2016,373658.75,0.0,0.0,0.0,0.0,0.0
광진구,2017,372151.0,4668474.42,4417980.25,9192464.67,88.67,120.08
광진구,2018,370813.0,5132624.5,4533664.33,9858270.92,92.33,122.83
광진구,2019,368859.25,4733887.75,4102418.75,9010936.25,81.08,109.67
광진구,2020,362986.75,4206476.08,3688024.75,7966454.75,72.42,95.42
광진구,2021,354376.0,4362004.58,4244639.0,8648894.25,76.83,101.33
광진구,2022,352057.75,2769988.25,5390831.75,8129737.83,59.0,80.5
광진구,2023,351221.0,2900873.92,5792327.08,8620380.25,59.75,74.92
구로구,2005,0.0,0.0,0.0,0.0,0.0,0.0
구로구,2006,0.0,0.0,0.0,0.0,0.0,0.0
구로구,2007,0.0,0.0,0.0,0.0,0.0,0.0
구로구,2008,449012.75,0.0,0.0,0.0,0.0,0.0
구로구,2009,449832.75,0.0,0.0,0.0,0.0,0.0
구로구,2010,449586.5,0.0,0.0,0.0,0.0,0.0
구로구,2011,455683.75,0.0,0.0,0.0,0.0,0.0
구로구,2012,457202.0,0.0,0.0,0.0,0.0,0.0
구로구,2013,453349.0,0.0,0.0,0.0,0.0,0.0
구로구,2014,456758.5,0.0,0.0,0.0,0.0,0.0
구로구,2015,456525.25,0.0,0.0,0.0,0.0,0.0
구로구,2016,452283.0,0.0,0.0,0.0,0.0,0.0
구로구,2017,444622.75,5144168.0,5261463.33,10507262.75,119.42,163.33
구로구,2018,439605.25,5678229.83,5777449.17,11642601.67,127.67,177.42
구로구,2019,439359.5,5463378.08,5627694.08,11265514.17,127.42,174.67
구로구,2020,435813.5,4797454.0,4914361.92,9780128.83,110.42,150.83
구로구,2021,423695.25,4927150.75,5053415.92,10023784.33,112.5,144.08
구로구,2022,418420.25,4745530.75,4646792.33,9363864.75,106.17,140.92
구로구,2023,417055.75,4951526.5,5001130.17,9868235.92,113.25,153.33
금천구,2005,0.0,0.0,0.0,0.0,0.0,0.0
금천구,2006,0.0,0.0,0.0,0.0,0.0,0.0
금천구,2007,0.0,0.0,0.0,0.0,0.0,0.0
금천구,2008,265883.0,0.0,0.0,0.0,0.0,0.0
금천구,2009,264999.75,0.0,0.0,0.0,0.0,0.0
금천구,2010,262216.25,0.0,0.0,0.0,0.0,0.0
금천구,2011,264619.5,0.0,0.0,0.0,0.0,0.0
금천구,2012,262747.25,0.0,0.0,0.0,0.0,0.0
금천구,2013,259322.0,0.0,0.0,0.0,0.0,0.0
금천구,2014,258180.0,0.0,0.0,0.0,0.0,0.0
금천구,2015,257670.5,0.0,0.0,0.0,0.0,0.0
금천구,2016,254564.25,0.0,0.0,0.0,0.0,0.0
금천구,2017,254232.5,4369935.75,4721938.92,9207216.33,68.67,102.33
금천구,2018,253119.0,4923012.0,4991437.0,10118043.83,77.67,110.5
금천구,2019,253248.25,4688825.75,5026149.0,9902876.75,76.67,112.75
금천구,2020,249850.0,4161172.17,4302947.67,8552479.08,67.5,90.33
금천구,2021,244756.75,4260795.42,4895199.08,9210787.5,68.92,97.25
금천구,2022,244205.5,3755353.42,1696646.0,5440286.75,70.33,96.0
금천구,2023,242053.75,3847496.58,1781077.25,5581077.92,73.0,102.67
노원구,2005,0.0,0.0,0.0,0.0,0.0,0.0
노원구,2006,0.0,0.0,0.0,0.0,0.0,0.0
노원구,2007,0.0,0.0,0.0,0.0,0.0,0.0
노원구,2008,621066.25,0.0,0.0,0.0,0.0,0.0
노원구,2009,617906.5,0.0,0.0,0.0,0.0,0.0
노원구,2010,613710.0,0.0,0.0,0.0,0.0,0.0
노원구,2011,610225.25,0.0,0.0,0.0,0.0,0.0
노원구,2012,603977.75,0.0,0.0,0.0,0.0,0.0
노원구,2013,596954.75,0.0,0.0,0.0,0.0,0.0
노원구,2014,589074.25,0.0,0.0,0.0,0.0,0.0
노원구,2015,581684.5,0.0,0.0,0.0,0.0,0.0
노원구,2016,575074.25,0.0,0.0,0.0,0.0,0.0
노원구,2017,564037.0,5194568.42,4702504.5,9980427.5,124.92,171.25
노원구,2018,552052.25,5687415.17,5293017.83,11147841.58,130.75,185.58
노원구,2019,541305.25,5669494.0,5452366.75,11284739.58,141.92,191.83
노원구,2020,531275.0,4950577.0,4806375.58,9811887.33,121.83,168.0
노원구,2021,518553.5,4969799.42,5012000.08,10005782.58,117.75,161.67
노원구,2022,511076.75,4212924.92,4755019.08,8939224.67,115.33,159.42
노원구,2023,504744.5,4310483.83,5112317.08,9342091.17,113.83,155.75
도봉구,2005,0.0,0.0,0.0,0.0,0.0,0.0
도봉구,2006,0.0,0.0,0.0,0.0,0.0,0.0
도봉구,2007,0.0,0.0,0.0,0.0,0.0,0.0
도봉구,2008,377690.5,0.0,0.0,0.0,0.0,0.0
도봉구,2009,374342.25,0.0,0.0,0.0,0.0,0.0
도봉구,2010,369781.0,0.0,0.0,0.0,0.0,0.0
도봉구,2011,369162.0,0.0,0.0,0.0,0.0,0.0
도봉구,2012,365638.5,0.0,0.0,0.0,0.0,0.0
도봉구,2013,362265.5,0.0,0.0,0.0,0.0,0.0
도봉구,2014,357832.75,0.0,0.0,0.0,0.0,0.0
도봉구,2015,354558.25,0.0,0.0,0.0,0.0,0.0
도봉구,2016,351552.5,0.0,0.0,0.0,0.0,0.0
도봉구,2017,347539.75,4519693.92,4022536.08,8651637.25,78.75,102.5
도봉구,2018,343444.0,4758621.17,3652364.0,8602246.08,68.67,88.42
도봉구,2019,338078.75,4578508.58,3924956.75,8679975.92,71.0,96.92
도봉구,2020,330475.0,4041428.42,3520657.25,7635741.0,61.75,82.5
도봉구,2021,321563.75,3923171.83,3324366.25,7287735.08,49.25,64.0
도봉구,2022,315972.25,3242109.33,2241622.08,5470516.08,43.5,58.75
도봉구,2023,310967.75,3315277.58,2360182.33,5627539.92,44.17,57.08
동대문구,2005,0.0,0.0,0.0,0.0,0.0,0.0
동대문구,2006,0.0,0.0,0.0,0.0,0.0,0.0
동대문구,2007,0.0,0.0,0.0,0.0,0.0,0.0
동대문구,2008,384516.5,0.0,0.0,0.0,0.0,0.0
동대문구,2009,378336.5,0.0,0.0,0.0,0.0,0.0
동대문구,2010,374993.75,0.0,0.0,0.0,0.0,0.0
동대문구,2011,379792.75,0.0,0.0,0.0,0.0,0.0
동대문구,2012,377501.25,0.0,0.0,0.0,0.0,0.0
동대문구,2013,376489.75,0.0,0.0,0.0,0.0,0.0
동대문구,2014,375481.0,0.0,0.0,0.0,0.0,0.0
동대문구,2015,375057.5,0.0,0.0,0.0,0.0,0.0
동대문구,2016,371859.0,0.0,0.0,0.0,0.0,0.0
동대문구,2017,367831.5,5560479.42,6026839.33,11716923.5,142.08,175.0
동대문구,2018,364982.0,5948053.92,6266279.42,12425168.42,141.58,180.0
동대문구,2019,363291.25,5552077.17,5790337.42,11536504.17,130.42,165.67
동대문구,2020,359716.5,5001852.25,5453380.58,10544116.42,120.67,153.75
동대문구,2021,352115.25,5016961.92,5289006.83,10366981.0,115.83,138.0
동대문구,2022,353029.25,5273149.75,2896944.42,8153401.33,127.83,153.58
동대문구,2023,357384.25,5619867.83,3151901.08,8697755.08,139.5,169.92
동작구,2005,0.0,0.0,0.0,0.0,0.0,0.0
동작구,2006,0.0,0.0,0.0,0.0,0.0,0.0
동작구,2007,0.0,0.0,0.0,0.0,0.0,0.0
동작구,2008,413675.0,0.0,0.0,0.0,0.0,0.0
동작구,2009,410426.5,0.0,0.0,0.0,0.0,0.0
동작구,2010,409653.5,0.0,0.0,0.0,0.0,0.0
동작구,2011,414252.0,0.0,0.0,0.0,0.0,0.0
동작구,2012,414560.0,0.0,0.0,0.0,0.0,0.0
동작구,2013,420739.0,0.0,0.0,0.0,0.0,0.0
동작구,2014,421197.25,0.0,0.0,0.0,0.0,0.0
동작구,2015,416588.0,0.0,0.0,0.0,0.0,0.0
동작구,2016,413689.75,0.0,0.0,0.0,0.0,0.0
동작구,2017,410733.25,5111366.58,5755597.5,10968880.25,117.42,170.25
동작구,2018,407825.0,5532800.5,5352359.75,11077636.83,117.67,157.67
동작구,2019,410857.5,5296727.33,5671772.17,11141107.33,117.17,168.42
동작구,2020,405191.75,4779696.67,5159150.75,10010400.58,108.92,151.58
동작구,2021,396480.5,4655433.33,4734707.92,9430650.0,95.67,126.67
동작구,2022,393184.75,5212003.83,4278437.08,9464902.17,101.42,137.58
동작구,2023,390418.5,5203751.67,4647516.17,9768869.17,103.5,139.0
마포구,2005,0.0,0.0,0.0,0.0,0.0,0.0
마포구,2006,0.0,0.0,0.0,0.0,0.0,0.0
마포구,2007,0.0,0.0,0.0,0.0,0.0,0.0
마포구,2008,397842.0,0.0,0.0,0.0,0.0,0.0
마포구,2009,393586.5,0.0,0.0,0.0,0.0,0.0
마포구,2010,394312.0,0.0,0.0,0.0,0.0,0.0
마포구,2011,400863.25,0.0,0.0,0.0,0.0,0.0
마포구,2012,395821.0,0.0,0.0,0.0,0.0,0.0
마포구,2013,392671.25,0.0,0.0,0.0,0.0,0.0
마포구,2014,391952.75,0.0,0.0,0.0,0.0,0.0
마포구,2015,399490.75,0.0,0.0,0.0,0.0,0.0
