년월,재난사고_사고건수_x,재난사고_사상자수_x,재난사고_사고건수_y,재난사고_사상자수_y,감전사고_사상자수
2013-0101,0.0,0.0,0.0,0.0,8
2013-0201,0.0,0.0,0.0,0.0,5
2013-0301,0.0,0.0,0.0,0.0,10
2013-0401,0.0,0.0,0.0,0.0,13
2013-0501,0.0,0.0,0.0,0.0,11
2013-0601,0.0,0.0,0.0,0.0,13
2013-0701,0.0,0.0,0.0,0.0,18
2013-0801,0.0,0.0,0.0,0.0,10
2013-0901,0.0,0.0,0.0,0.0,12
2013-1001,0.0,0.0,0.0,0.0,11
2013-1101,0.0,0.0,0.0,0.0,7
2013-1201,0.0,0.0,0.0,0.0,6
2014-0101,0.0,0.0,0.0,0.0,9
2014-0201,0.0,0.0,0.0,0.0,5
2014-0401,0.0,0.0,0.0,0.0,8
2014-0501,0.0,0.0,0.0,0.0,11
2014-0601,0.0,0.0,0.0,0.0,10
2014-0701,0.0,0.0,0.0,0.0,10
2014-0801,0.0,0.0,0.0,0.0,3
2014-0901,0.0,0.0,0.0,0.0,5
2014-1001,0.0,0.0,0.0,0.0,5
2014-1101,0.0,0.0,0.0,0.0,8
2014-1201,0.0,0.0,0.0,0.0,4
2015-0101,0.0,0.0,0.0,0.0,10
2015-0201,0.0,0.0,0.0,0.0,2
2015-0301,0.0,0.0,0.0,0.0,7
2015-0401,0.0,0.0,0.0,0.0,13
2015-0501,0.0,0.0,0.0,0.0,8
2015-0601,0.0,0.0,0.0,0.0,8
2015-0701,0.0,0.0,0.0,0.0,6
2015-0801,0.0,0.0,0.0,0.0,7
2015-0901,0.0,0.0,0.0,0.0,4
2015-1001,0.0,0.0,0.0,0.0,7
2015-1101,0.0,0.0,0.0,0.0,6
2015-1201,0.0,0.0,0.0,0.0,6
2016-0101,0.0,0.0,0.0,0.0,4
2016-0201,0.0,0.0,0.0,0.0,3
2016-0301,0.0,0.0,0.0,0.0,11
2016-0401,0.0,0.0,0.0,0.0,6
2016-0501,0.0,0.0,0.0,0.0,7
2016-0601,0.0,0.0,0.0,0.0,8
2016-0701,0.0,0.0,0.0,0.0,6
2016-0801,0.0,0.0,0.0,0.0,3
2016-0901,0.0,0.0,0.0,0.0,3
2016-1001,0.0,0.0,0.0,0.0,3
2016-1101,0.0,0.0,0.0,0.0,3
2016-1201,0.0,0.0,0.0,0.0,1
2017-0101,0.0,0.0,0.0,0.0,12
2017-0201,0.0,0.0,0.0,0.0,7
2017-0301,0.0,0.0,0.0,0.0,16
2017-0401,0.0,0.0,0.0,0.0,11
2017-0501,0.0,0.0,0.0,0.0,8
2017-0601,0.0,0.0,0.0,0.0,7
2017-0701,0.0,0.0,0.0,0.0,7
2017-0801,0.0,0.0,0.0,0.0,14
2017-0901,0.0,0.0,0.0,0.0,10
2017-1001,0.0,0.0,0.0,0.0,6
2017-1101,0.0,0.0,0.0,0.0,11
2017-1201,0.0,0.0,0.0,0.0,5
2018-0101,0.0,0.0,0.0,0.0,7
2018-0201,0.0,0.0,0.0,0.0,3
2018-0301,0.0,0.0,0.0,0.0,3
2018-0401,0.0,0.0,0.0,0.0,7
2018-0501,0.0,0.0,0.0,0.0,4
2018-0601,0.0,0.0,0.0,0.0,7
2018-0701,0.0,0.0,0.0,0.0,8
2018-0801,0.0,0.0,0.0,0.0,16
2018-0901,0.0,0.0,0.0,0.0,14
2018-1001,0.0,0.0,0.0,0.0,14
2018-1101,0.0,0.0,0.0,0.0,6
2018-1201,0.0,0.0,0.0,0.0,5
2019-0101,0.0,0.0,0.0,0.0,4
2019-0201,0.0,0.0,0.0,0.0,5
2019-0301,0.0,0.0,0.0,0.0,5
2019-0401,0.0,0.0,0.0,0.0,3
2019-0501,0.0,0.0,0.0,0.0,6
2019-0601,0.0,0.0,0.0,0.0,9
2019-0701,0.0,0.0,0.0,0.0,5
2019-0801,0.0,0.0,0.0,0.0,11
2019-0901,0.0,0.0,0.0,0.0,13
2019-1001,0.0,0.0,0.0,0.0,8
2019-1101,0.0,0.0,0.0,0.0,8
2019-1201,0.0,0.0,0.0,0.0,9
2020-0101,0.0,0.0,0.0,0.0,4
2020-0301,0.0,0.0,0.0,0.0,4
2020-0401,0.0,0.0,0.0,0.0,5
2020-0501,0.0,0.0,0.0,0.0,3
2020-0601,0.0,0.0,0.0,0.0,7
2020-0701,0.0,0.0,0.0,0.0,10
2020-0801,0.0,0.0,0.0,0.0,4
2020-0901,0.0,0.0,0.0,0.0,9
2020-1001,0.0,0.0,0.0,0.0,3
2020-1101,0.0,0.0,0.0,0.0,4
2020-1201,0.0,0.0,0.0,0.0,4
2021-0101,0.0,0.0,0.0,0.0,2
2021-0201,0.0,0.0,0.0,0.0,3
2021-0301,0.0,0.0,0.0,0.0,5
2021-0401,0.0,0.0,0.0,0.0,2
2021-0501,0.0,0.0,0.0,0.0,1
2021-0601,0.0,0.0,0.0,0.0,6
2021-07,549.0,662.0,0.0,0.0,0
2021-0701,0.0,0.0,549.0,662.0,6
2021-08,2545.0,3160.0,0.0,0.0,0
2021-0801,0.0,0.0,2545.0,3160.0,6
2021-09,2076.0,2728.0,0.0,0.0,0
2021-0901,0.0,0.0,2076.0,2728.0,4
2021-10,2037.0,2561.0,0.0,0.0,0
2021-1001,0.0,0.0,2037.0,2561.0,3
2021-11,2767.0,3447.0,0.0,0.0,0
2021-1101,0.0,0.0,2767.0,3447.0,4
2021-12,2070.0,2552.0,0.0,0.0,0
2021-1201,0.0,0.0,2070.0,2552.0,7
2022-01,2793.0,3561.0,0.0,0.0,0
2022-0101,0.0,0.0,2793.0,3561.0,3
2022-02,1732.0,2098.0,0.0,0.0,0
2022-0201,0.0,0.0,1732.0,2098.0,1
2022-03,1589.0,1962.0,0.0,0.0,0
2022-0301,0.0,0.0,1589.0,1962.0,2
2022-04,1927.0,2408.0,0.0,0.0,0
2022-0401,0.0,0.0,1927.0,2408.0,5
2022-05,2025.0,2510.0,0.0,0.0,0
2022-0501,0.0,0.0,2025.0,2510.0,3
2022-06,1876.0,2374.0,0.0,0.0,0
2022-0601,0.0,0.0,1876.0,2374.0,5
2022-07,2026.0,2563.0,0.0,0.0,0
2022-0701,0.0,0.0,2026.0,2563.0,2
2022-08,2368.0,3025.0,0.0,0.0,0
2022-0801,0.0,0.0,2368.0,3025.0,9
2022-09,2051.0,2568.0,0.0,0.0,0
2022-0901,0.0,0.0,2051.0,2568.0,3
2022-10,2580.0,3246.0,0.0,0.0,0
2022-1001,0.0,0.0,2580.0,3246.0,1
2022-11,2023.0,2544.0,0.0,0.0,0
2022-1101,0.0,0.0,2023.0,2544.0,8
2022-12,1636.0,2077.0,0.0,0.0,0
2022-1201,0.0,0.0,1636.0,2077.0,3
2023-01,1722.0,2106.0,0.0,0.0,0
2023-0101,0.0,0.0,1722.0,2106.0,0
2023-02,1535.0,1982.0,0.0,0.0,0
2023-0201,0.0,0.0,1535.0,1982.0,0
2023-03,1774.0,2252.0,0.0,0.0,0
2023-0301,0.0,0.0,1774.0,2252.0,0
2023-04,1438.0,1852.0,0.0,0.0,0
2023-0401,0.0,0.0,1438.0,1852.0,0
2023-05,2329.0,2960.0,0.0,0.0,0
2023-0501,0.0,0.0,2329.0,2960.0,0
2023-06,1868.0,2417.0,0.0,0.0,0
2023-0601,0.0,0.0,1868.0,2417.0,0
2023-07,2142.0,2784.0,0.0,0.0,0
2023-0701,0.0,0.0,2142.0,2784.0,0
2023-08,1881.0,2394.0,0.0,0.0,0
2023-0801,0.0,0.0,1881.0,2394.0,0
2023-09,2016.0,2542.0,0.0,0.0,0
2023-0901,0.0,0.0,2016.0,2542.0,0
2023-10,1962.0,2521.0,0.0,0.0,0
2023-1001,0.0,0.0,1962.0,2521.0,0
2023-11,1908.0,2397.0,0.0,0.0,0
2023-1101,0.0,0.0,1908.0,2397.0,0
2023-12,1500.0,1904.0,0.0,0.0,0
2023-1201,0.0,0.0,1500.0,1904.0,0
2024-01,2076.0,2582.0,0.0,0.0,0
2024-0101,0.0,0.0,2076.0,2582.0,0
2024-02,1463.0,1866.0,0.0,0.0,0
2024-0201,0.0,0.0,1463.0,1866.0,0
2024-03,797.0,987.0,0.0,0.0,0
2024-0301,0.0,0.0,797.0,987.0,0
2024-06,1470.0,1263.0,0.0,0.0,0
2024-0601,0.0,0.0,1470.0,1263.0,0
2024-07,2148.0,2682.0,0.0,0.0,0
2024-0701,0.0,0.0,2148.0,2682.0,0
2024-08,1789.0,2211.0,0.0,0.0,0
2024-0801,0.0,0.0,1789.0,2211.0,0
2024-09,1226.0,1429.0,0.0,0.0,0
2024-0901,0.0,0.0,1226.0,1429.0,0
2024-10,1324.0,1599.0,0.0,0.0,0
2024-1001,0.0,0.0,1324.0,1599.0,0
2024-11,1455.0,1765.0,0.0,0.0,0
2024-1101,0.0,0.0,1455.0,1765.0,0
2024-12,1044.0,1271.0,0.0,0.0,0
2024-1201,0.0,0.0,1044.0,1271.0,0
2025-01,209.0,263.0,0.0,0.0,0
2025-0101,0.0,0.0,209.0,263.0,0
2025-02,1640.0,2029.0,0.0,0.0,0
2025-0201,0.0,0.0,1640.0,2029.0,0
2025-03,1526.0,1847.0,0.0,0.0,0
2025-0301,0.0,0.0,1526.0,1847.0,0
