"통계기준일","사고 건수(공사장,교통,화재)","사망자수 (사망자+부상자)"
"20250331~20250406","363","435"
"20250324~20250330","472","571"
"20250317~20250323","375","447"
"20250303~20250309","316","394"
"20250224~20250302","398","502"
"20250217~20250223","349","422"
"20250210~20250216","440","524"
"20250203~20250209","453","581"
"20250127~20250202","209","263"
"20241230~20250105","300","371"
"20241223~20241229","348","430"
"20241216~20241222","1","1"
"20241209~20241215","395","469"
"20241125~20241201","412","498"
"20241118~20241124","547","681"
"20241111~20241117","496","586"
"20241028~20241103","467","582"
"20241014~20241020","427","511"
"20241007~20241013","430","506"
"20240930~20241006","431","505"
"20240923~20240929","480","556"
"20240916~20240922","303","368"
"20240909~20240915","0",""
"20240902~20240908","12",""
"20240826~20240901","488","624"
"20240819~20240825","457","542"
"20240812~20240818","401","492"
"20240805~20240811","443","553"
"20240729~20240804","418","545"
"20240722~20240728","380","473"
"20240715~20240721","411","512"
"20240708~20240714","443","525"
"20240701~20240707","496","627"
"20240624~20240630","467","571"
"20240617~20240623","535","53"
"20240603~20240609","468","639"
"20240311~20240317","388","498"
"20240304~20240310","409","489"
"20240226~20240303","339","459"
"20240219~20240225","398","494"
"20240212~20240218","338","422"
"20240205~20240211","388","491"
"20240129~20240204","421","524"
"20240122~20240128","493","610"
"20240115~20240121","429","532"
"20240108~20240114","374","458"
"20240101~20240107","359","458"
"20231225~20231231","18","43"
"20231218~20231224","512","620"
"20231211~20231217","521","671"
"20231204~20231210","449","570"
"20231127~20231203","449","570"
"20231120~20231126","471","584"
"20231113~20231119","462","592"
"20231106~20231112","526","651"
"20231030~20231105","502","620"
"20231016~20231022","517","679"
"20231009~20231015","534","682"
"20231002~20231008","409","540"
"20230925~20231001","415","524"
"20230918~20230924","551","669"
"20230911~20230917","536","704"
"20230904~20230910","514","645"
"20230828~20230903","512","647"
"20230821~20230827","458","574"
"20230814~20230820","440","572"
"20230807~20230813","471","601"
"20230731~20230806","402","537"
"20230724~20230730","438","592"
"20230717~20230723","433","543"
"20230710~20230716","447","580"
"20230703~20230709","422","532"
"20230626~20230702","456","561"
"20230619~20230626","488","644"
"20230612~20230618","502","654"
"20230605~20230611","422","558"
"20230529~20230604","483","612"
"20230522~20230528","492","593"
"20230515~20230521","511","676"
"20230508~20230514","442","563"
"20230501~20230507","401","516"
"20230424~20230430","480","633"
"20230410~20230416","438","573"
"20230403~20230409","520","646"
"20230327~20230402","493","626"
"20230320~20230326","442","555"
"20230313~20230319","419","538"
"20230306~20230312","420","533"
"20230227~20230305","412","507"
"20230220~20230226","380","505"
"20230213~20230219","353","489"
"20230206~20230212","390","481"
"20230123~20230129","496","627"
"20230109~20230115","625","750"
"20230102~20230108","601","729"
"20221226~20230101","645","807"
"20221212~20221218","515","643"
"20221205~20221211","476","627"
"20221128~20221204","502","626"
"20221121~20221127","460","549"
"20221114~20221120","556","737"
"20221107~20221113","505","632"
"20221031~20221106","509","655"
"20221024~20221030","520","639"
"20221017~20221023","503","644"
"20221010~20221016","500","600"
"20221003~20221009","548","708"
"20220926~20221002","543","699"
"20220919~20220925","525","677"
"20220912~20220918","485","589"
"20220905~20220911","498","603"
"20220829~20220904","522","662"
"20220822~20220828","486","637"
"20220815~20220821","482","593"
"20220808~20220814","431","545"
"20220801~20220807","447","588"
"20220725~20220731","525","684"
"20220718~20220724","496","632"
"20220711~20220717","491","599"
"20220704~20220710","514","648"
"20220627~20220703","480","601"
"20220620~20220626","499","630"
"20220613~20220619","464","597"
"20220606~20220612","433","546"
"20220530~20220605","505","611"
"20220523~20220529","575","703"
"20220509~20220515","500","653"
"20220502~20220508","445","543"
"20220425~20220501","413","488"
"20220418~20220424","515","649"
"20220411~20220417","502","629"
"20220404~20220410","497","642"
"20220328~20220403","453","593"
"20220321~20220327","363","440"
"20220314~20220320","407","498"
"20220307~20220313","366","431"
"20220228~20220306","417","483"
"20220221~20220227","482","589"
"20220214~20220220","407","492"
"20220207~20220213","426","534"
"20220131~20220206","671","892"
"20220124~20220130","488","619"
"20220117~20220123","520","658"
"20220110~20220116","566","706"
"20220103~20220109","548","686"
"20211227~20220102","556","691"
"20211220~20211226","490","602"
"20211213~20211219","544","672"
"20211206~20211212","480","587"
"20211129~20211205","513","629"
"20211122~20211128","532","650"
"20211115~20211121","620","766"
"20211108~20211114","530","676"
"20211101~20211107","572","726"
"20211025~20211031","511","637"
"20211018~20211024","513","658"
"20211011~20211017","488","618"
"20211004~20211010","525","648"
"20210927~20211003","537","704"
"20210920~20210926","311","511"
"20210913~20210919","658","804"
"20210906~20210912","570","709"
"20210830~20210905","503","619"
"20210823~20210829","522","638"
"20210816~20210822","473","585"
"20210809~20210815","529","674"
"20210802~20210808","518","644"
"20210726~20210801","549","662"