,2005,2005.1,2005.2,2005.3,2005.4,2005.5,2005.6,2005.7,2005.8,2005.9,2005.1,2005.11,2006,2006.1,2006.2,2006.3,2006.4,2006.5,2006.6,2006.7,2006.8,2006.9,2006.1,2006.11,2007,2007.1,2007.2,2007.3,2007.4,2007.5,2007.6,2007.7,2007.8,2007.9,2007.1,2007.11,2008,2008.1,2008.2,2008.3,2008.4,2008.5,2008.6,2008.7,2008.8,2008.9,2008.1,2008.11,2009,2009.1,2009.2,2009.3,2009.4,2009.5,2009.6,2009.7,2009.8,2009.9,2009.1,2009.11,2010,2010.1,2010.2,2010.3,2010.4,2010.5,2010.6,2010.7,2010.8,2010.9,2010.1,2010.11,2011,2011.1,2011.2,2011.3,2011.4,2011.5,2011.6,2011.7,2011.8,2011.9,2011.1,2011.11,2012,2012.1,2012.2,2012.3,2012.4,2012.5,2012.6,2012.7,2012.8,2012.9,2012.1,2012.11,2013,2013.1,2013.2,2013.3,2013.4,2013.5,2013.6,2013.7,2013.8,2013.9,2013.1,2013.11,2014,2014.1,2014.2,2014.3,2014.4,2014.5,2014.6,2014.7,2014.8,2014.9,2014.1,2014.11,2015,2015.1,2015.2,2015.3,2015.4,2015.5,2015.6,2015.7,2015.8,2015.9,2015.1,2015.11,2016,2016.1,2016.2,2016.3,2016.4,2016.5,2016.6,2016.7,2016.8,2016.9,2016.1,2016.11,2017,2017.1,2017.2,2017.3,2017.4,2017.5,2017.6,2017.7,2017.8,2017.9,2017.1,2017.11,2018,2018.1,2018.2,2018.3,2018.4,2018.5,2018.6,2018.7,2018.8,2018.9,2018.1,2018.11,2019,2019.1,2019.2,2019.3,2019.4,2019.5,2019.6,2019.7,2019.8,2019.9,2019.1,2019.11,2020,2020.1,2020.2,2020.3,2020.4,2020.5,2020.6,2020.7,2020.8,2020.9,2020.1,2020.11,2021,2021.1,2021.2,2021.3,2021.4,2021.5,2021.6,2021.7,2021.8,2021.9,2021.1,2021.11,2022,2022.1,2022.2,2022.3,2022.4,2022.5,2022.6,2022.7,2022.8,2022.9,2022.1,2022.11,2023,2023.1,2023.2,2023.3,2023.4,2023.5,2023.6,2023.7,2023.8,2023.9,2023.1,2023.11
,소계,소계,횡단중,횡단중,차도 통행중,차도 통행중,길가장자리구역통행중,길가장자리구역통행중,보도통행중,보도통행중,기타,기타,소계,소계,횡단중,횡단중,차도 통행중,차도 통행중,길가장자리구역통행중,길가장자리구역통행중,보도통행중,보도통행중,기타,기타,소계,소계,횡단중,횡단중,차도 통행중,차도 통행중,길가장자리구역통행중,길가장자리구역통행중,보도통행중,보도통행중,기타,기타,소계,소계,횡단중,횡단중,차도 통행중,차도 통행중,길가장자리구역통행중,길가장자리구역통행중,보도통행중,보도통행중,기타,기타,소계,소계,횡단중,횡단중,차도 통행중,차도 통행중,길가장자리구역통행중,길가장자리구역통행중,보도통행중,보도통행중,기타,기타,소계,소계,횡단중,횡단중,차도 통행중,차도 통행중,길가장자리구역통행중,길가장자리구역통행중,보도통행중,보도통행중,기타,기타,소계,소계,횡단중,횡단중,차도 통행중,차도 통행중,길가장자리구역통행중,길가장자리구역통행중,보도통행중,보도통행중,기타,기타,소계,소계,횡단중,횡단중,차도 통행중,차도 통행중,길가장자리구역통행중,길가장자리구역통행중,보도통행중,보도통행중,기타,기타,소계,소계,횡단중,횡단중,차도 통행중,차도 통행중,길가장자리구역통행중,길가장자리구역통행중,보도통행중,보도통행중,기타,기타,소계,소계,횡단중,횡단중,차도 통행중,차도 통행중,길가장자리구역통행중,길가장자리구역통행중,보도통행중,보도통행중,기타,기타,소계,소계,횡단중,횡단중,차도 통행중,차도 통행중,길가장자리구역통행중,길가장자리구역통행중,보도통행중,보도통행중,기타,기타,소계,소계,횡단중,횡단중,차도 통행중,차도 통행중,길가장자리구역통행중,길가장자리구역통행중,보도통행중,보도통행중,기타,기타,소계,소계,횡단중,횡단중,차도 통행중,차도 통행중,길가장자리구역통행중,길가장자리구역통행중,보도통행중,보도통행중,기타,기타,소계,소계,횡단중,횡단중,차도 통행중,차도 통행중,길가장자리구역통행중,길가장자리구역통행중,보도통행중,보도통행중,기타,기타,소계,소계,횡단중,횡단중,차도 통행중,차도 통행중,길가장자리구역통행중,길가장자리구역통행중,보도통행중,보도통행중,기타,기타,소계,소계,횡단중,횡단중,차도 통행중,차도 통행중,길가장자리구역통행중,길가장자리구역통행중,보도통행중,보도통행중,기타,기타,소계,소계,횡단중,횡단중,차도 통행중,차도 통행중,길가장자리구역통행중,길가장자리구역통행중,보도통행중,보도통행중,기타,기타,소계,소계,횡단중,횡단중,차도 통행중,차도 통행중,길가장자리구역통행중,길가장자리구역통행중,보도통행중,보도통행중,기타,기타,소계,소계,횡단중,횡단중,차도 통행중,차도 통행중,길가장자리구역통행중,길가장자리구역통행중,보도통행중,보도통행중,기타,기타
자치구,사망자수,부상자수,사망자수,부상자수,사망자수,부상자수,사망자수,부상자수,사망자수,부상자수,사망자수,부상자수,사망자수,부상자수,사망자수,부상자수,사망자수,부상자수,사망자수,부상자수,사망자수,부상자수,사망자수,부상자수,사망자수,부상자수,사망자수,부상자수,사망자수,부상자수,사망자수,부상자수,사망자수,부상자수,사망자수,부상자수,사망자수,부상자수,사망자수,부상자수,사망자수,부상자수,사망자수,부상자수,사망자수,부상자수,사망자수,부상자수,사망자수,부상자수,사망자수,부상자수,사망자수,부상자수,사망자수,부상자수,사망자수,부상자수,사망자수,부상자수,사망자수,부상자수,사망자수,부상자수,사망자수,부상자수,사망자수,부상자수,사망자수,부상자수,사망자수,부상자수,사망자수,부상자수,사망자수,부상자수,사망자수,부상자수,사망자수,부상자수,사망자수,부상자수,사망자수,부상자수,사망자수,부상자수,사망자수,부상자수,사망자수,부상자수,사망자수,부상자수,사망자수,부상자수,사망자수,부상자수,사망자수,부상자수,사망자수,부상자수,사망자수,부상자수,사망자수,부상자수,사망자수,부상자수,사망자수,부상자수,사망자수,부상자수,사망자수,부상자수,사망자수,부상자수,사망자수,부상자수,사망자수,부상자수,사망자수,부상자수,사망자수,부상자수,사망자수,부상자수,사망자수,부상자수,사망자수,부상자수,사망자수,부상자수,사망자수,부상자수,사망자수,부상자수,사망자수,부상자수,사망자수,부상자수,사망자수,부상자수,사망자수,부상자수,사망자수,부상자수,사망자수,부상자수,사망자수,부상자수,사망자수,부상자수,사망자수,부상자수,사망자수,부상자수,사망자수,부상자수,사망자수,부상자수,사망자수,부상자수,사망자수,부상자수,사망자수,부상자수,사망자수,부상자수,사망자수,부상자수,사망자수,부상자수,사망자수,부상자수,사망자수,부상자수,사망자수,부상자수,사망자수,부상자수,사망자수,부상자수,사망자수,부상자수,사망자수,부상자수,사망자수,부상자수,사망자수,부상자수,사망자수,부상자수,사망자수,부상자수,사망자수,부상자수,사망자수,부상자수,사망자수,부상자수,사망자수,부상자수,사망자수,부상자수,사망자수,부상자수,사망자수,부상자수,사망자수,부상자수,사망자수,부상자수,사망자수,부상자수,사망자수,부상자수,사망자수,부상자수,사망자수,부상자수,사망자수,부상자수,사망자수,부상자수,사망자수,부상자수,사망자수,부상자수,사망자수,부상자수
종로구,13,303,8,129,2,36,-,7,-,23,3,108,9,336,7,164,1,60,-,48,-,22,1,42,8,397,5,185,2,74,-,46,-,34,1,58,16,403,12,200,1,73,1,56,1,34,1,40,10,381,4,132,2,63,-,31,-,27,4,128,13,384,9,161,-,53,2,24,-,23,2,123,13,421,8,171,1,20,-,25,1,12,3,193,9,412,6,162,1,33,-,20,1,29,1,168,11,364,4,147,2,49,-,25,2,17,3,126,7,391,5,168,-,33,-,28,1,23,1,139,7,406,1,152,2,56,1,55,1,31,2,112,7,397,2,141,3,64,-,47,-,26,2,119,8,339,2,137,3,56,-,21,-,24,3,101,4,341,1,128,3,71,-,34,-,30,-,78,3,319,1,101,1,61,-,24,-,21,1,112,2,234,-,71,-,30,-,16,1,18,1,99,4,179,3,63,-,23,-,6,-,17,1,70,1,289,1,78,-,36,-,26,-,35,-,114,6,265,3,94,-,47,-,14,-,22,3,88
중구,7,343,5,118,-,38,-,26,1,36,1,125,12,341,9,135,2,71,1,52,-,43,-,40,9,333,5,131,3,64,-,40,-,35,1,63,7,366,5,130,-,91,-,53,-,42,2,50,10,399,7,140,2,70,-,53,-,34,1,102,2,371,1,121,-,59,-,29,-,41,1,121,11,422,2,110,1,43,-,34,-,47,8,188,8,392,5,128,1,29,-,25,-,28,2,182,8,406,4,154,-,26,-,20,1,10,3,196,1,374,-,106,-,30,-,14,-,18,1,206,8,390,4,156,1,56,-,36,-,25,3,117,12,357,9,142,-,41,-,25,-,17,3,132,1,325,-,120,-,41,-,21,1,23,-,120,4,297,1,117,1,59,-,23,1,24,1,74,4,293,3,108,-,42,-,12,-,20,1,111,1,254,-,94,1,26,-,7,-,17,-,110,2,173,2,58,-,18,-,14,-,14,-,69,2,228,-,63,1,18,-,8,-,24,1,115,3,218,2,73,1,23,-,7,-,14,-,101
용산구,7,240,4,87,1,43,-,17,-,18,2,75,5,242,3,108,1,25,1,13,-,14,-,82,7,249,3,112,3,31,-,15,-,24,1,67,5,273,2,113,1,36,-,25,1,22,1,77,8,297,3,130,3,49,-,19,1,23,1,76,7,280,4,120,-,36,-,20,-,18,3,86,4,286,1,106,2,35,1,41,-,24,-,80,6,274,1,98,2,45,1,26,1,19,1,86,4,310,2,101,-,36,-,18,1,11,1,144,3,298,2,95,-,21,-,27,-,9,1,146,9,354,4,118,-,29,-,35,-,14,5,158,8,310,7,148,-,3,-,31,-,7,1,121,8,300,3,135,2,19,-,13,-,17,3,116,8,305,4,124,1,25,-,12,2,7,1,137,6,272,3,100,1,15,-,33,1,5,1,119,6,158,3,56,1,11,-,5,-,13,2,73,2,179,1,52,1,10,-,13,-,13,-,91,7,232,3,75,-,15,-,8,-,15,4,119,2,218,1,62,1,9,-,8,-,14,-,125
성동구,5,255,2,104,-,23,-,9,-,10,3,109,6,237,3,124,1,36,-,12,-,24,2,41,10,237,9,149,-,30,-,10,-,22,1,26,7,251,1,123,1,33,-,7,1,17,4,71,3,279,1,112,-,26,-,13,-,19,2,109,5,235,2,86,1,18,-,6,-,11,2,114,7,266,3,98,1,14,-,7,-,7,3,140,4,223,3,62,-,15,-,2,-,14,1,130,5,266,2,82,-,3,-,12,-,6,3,163,4,323,1,103,-,7,-,4,-,20,3,189,3,331,3,134,-,10,-,15,-,17,-,155,9,283,4,117,-,16,1,19,1,18,3,113,3,249,2,118,-,13,-,22,-,12,1,84,5,277,4,103,-,12,-,20,-,16,1,126,8,226,4,79,1,23,-,30,1,15,2,79,5,248,4,84,-,28,-,24,1,34,-,78,5,244,2,71,-,14,-,22,-,18,3,119,3,213,1,82,-,28,-,16,-,19,2,68,3,225,1,73,-,24,-,23,-,15,2,90
광진구,12,358,8,136,-,20,-,3,-,17,4,182,6,343,5,158,-,41,-,9,-,51,1,84,9,415,6,177,1,85,1,40,1,41,-,72,8,378,3,179,4,72,-,43,-,52,1,32,7,406,4,177,1,53,-,45,1,27,1,104,8,377,6,144,-,34,-,15,-,19,2,165,16,356,10,131,1,19,-,2,1,25,4,179,8,405,4,128,1,28,-,8,-,10,3,231,3,353,1,109,1,8,-,14,-,18,1,204,7,410,4,137,-,14,-,7,1,24,2,228,7,340,4,107,-,38,-,18,-,19,3,158,4,309,4,115,-,31,-,11,-,15,-,137,5,304,4,115,1,15,-,29,-,3,-,142,6,282,2,101,1,24,2,49,-,18,1,90,3,266,1,75,-,22,-,18,-,11,2,140,4,272,3,127,-,20,-,6,-,15,1,104,2,216,1,37,-,20,-,20,-,17,1,122,6,169,3,43,1,8,-,7,-,13,2,98,3,185,1,22,-,13,-,7,-,22,2,121
동대문구,14,418,7,226,2,32,-,17,2,22,3,121,12,451,6,241,2,35,-,19,1,19,3,137,11,461,8,243,-,19,-,11,1,32,2,156,25,438,16,251,2,30,1,9,-,25,6,123,20,522,12,264,2,42,1,19,-,42,5,155,17,495,13,207,-,41,-,15,-,32,4,200,6,490,3,190,2,65,-,11,-,24,1,200,10,526,3,210,1,32,-,15,-,20,6,249,10,543,5,173,1,23,-,12,-,16,4,319,16,510,9,154,1,13,1,11,-,12,5,320,8,594,5,217,-,26,-,22,-,19,3,310,8,597,7,315,-,32,1,41,-,13,-,196,14,516,5,226,1,34,-,35,1,23,7,198,9,500,4,156,-,44,-,24,-,20,5,256,6,438,3,143,1,45,-,14,-,23,2,213,3,362,1,153,-,33,-,10,-,23,2,143,11,302,7,86,2,30,-,7,-,26,2,153,2,421,-,130,1,52,-,14,1,32,-,193,5,389,3,107,1,55,-,12,-,43,1,172
중랑구,2,506,1,195,-,40,-,4,-,31,1,236,9,496,6,210,1,56,1,69,1,69,-,92,12,513,4,229,3,96,1,80,1,39,3,69,8,543,6,257,-,84,-,89,1,69,1,44,9,556,5,220,2,46,-,91,-,42,2,157,8,586,3,200,-,59,1,69,-,50,4,208,8,503,4,164,1,40,1,37,1,32,1,230,9,493,7,198,-,29,1,53,-,34,1,179,5,505,3,176,-,25,-,44,-,24,2,236,5,480,3,160,-,20,-,39,-,14,2,247,5,519,4,224,-,39,1,72,-,26,-,158,8,445,3,136,4,95,-,15,-,8,1,191,4,448,2,199,1,32,-,32,-,19,1,166,8,444,3,183,3,34,-,33,1,21,1,173,7,480,6,206,1,35,-,33,-,28,-,178,4,352,2,108,-,19,-,30,-,12,2,183,5,334,2,124,1,23,-,15,-,27,2,145,6,362,4,116,-,18,-,27,-,25,2,176,1,344,1,95,-,28,-,19,-,30,-,172
성북구,11,452,8,227,2,35,-,19,-,28,1,143,15,447,11,254,1,47,1,59,-,43,2,44,6,434,5,232,-,47,1,39,-,29,-,87,13,482,7,275,3,55,-,44,-,39,3,69,8,528,6,222,2,64,-,33,-,48,-,161,8,519,6,194,1,73,-,31,-,35,1,186,14,488,10,214,-,30,-,33,-,39,4,172,8,488,6,259,1,27,-,25,-,21,1,156,8,462,4,257,2,37,1,29,1,23,-,116,9,491,3,242,1,46,-,31,1,29,4,143,9,513,5,279,2,45,1,58,-,22,1,109,6,506,4,277,-,64,-,52,-,12,2,101,11,411,7,227,1,43,-,31,-,25,3,85,9,400,5,208,2,42,-,19,-,23,2,108,4,415,2,209,1,53,-,12,-,20,1,121,10,304,8,112,-,37,-,13,-,22,2,120,4,299,3,99,-,33,-,8,1,26,-,133,5,312,2,108,1,40,-,11,-,25,2,128,5,308,1,92,1,22,-,12,1,22,2,160
강북구,11,383,5,190,1,21,-,15,1,22,4,135,4,411,2,212,-,41,1,65,-,22,1,71,8,409,8,232,-,48,-,59,-,22,-,48,6,417,5,216,-,34,1,52,-,19,-,96,5,458,3,213,-,39,1,52,-,24,1,130,11,474,6,210,-,36,-,57,2,33,3,138,2,390,1,160,-,26,-,38,-,22,1,144,5,398,2,153,1,41,1,27,-,14,1,163,7,419,6,154,1,30,-,13,-,12,-,210,8,442,6,136,-,20,-,14,-,9,2,263,11,440,5,183,1,24,1,15,-,21,4,197,8,421,6,188,-,15,-,28,-,15,2,175,5,449,2,178,1,70,-,33,-,18,2,150,9,407,6,142,-,54,-,25,-,19,3,167,2,410,2,144,-,30,-,32,-,11,-,193,2,299,1,82,-,19,-,10,-,10,1,178,5,263,3,74,-,22,-,19,-,5,2,143,6,323,3,91,-,26,1,23,-,15,2,168,4,296,1,75,-,66,-,23,1,16,2,116
