자치구,연도,버스승객수,지하철_승객_수,승객수,발생건수,부상자수
강남구,2017,94149570,146347253,241905699,3469,4959
강남구,2018,98835925,148332567,249597367,3459,4967
강남구,2019,100733693,153716474,256861504,3722,5182
강남구,2020,96578579,153883394,251672041,3752,5189
강남구,2021,98810029,157330951,257049406,3820,5175
강남구,2022,102254991,156156645,261731880,3709,5052
강남구,2023,104106279,172844769,278190656,3926,5229
강동구,2017,60708843,60159659,122065598,1371,1873
강동구,2018,66358214,63030850,131635279,1418,1922
강동구,2019,63749512,62247795,128088482,1414,1910
강동구,2020,56696377,49747756,107263856,1268,1600
강동구,2021,53906631,47931527,102142028,1047,1413
강동구,2022,27658749,44532905,84136152,1151,1553
강동구,2023,29192803,48136659,86541451,1185,1522
강북구,2017,59335342,61090687,121874712,1251,1608
강북구,2018,63513685,63020842,128950582,1216,1633
강북구,2019,61978800,65051875,129316292,1277,1706
강북구,2020,54242379,56478137,111747921,1087,1420
강북구,2021,54132973,57300690,112083754,1017,1302
강북구,2022,58019122,30349973,88190101,1044,1266
강북구,2023,59001740,32266032,90501403,972,1217
강서구,2017,63571631,55957275,120475728,1584,2155
강서구,2018,66864258,58985639,127699778,1502,2208
강서구,2019,69833968,66496825,138193236,1829,2491
강서구,2020,61059891,56145889,117796641,1575,2131
강서구,2021,60845981,58064369,119106290,1501,2042
강서구,2022,55867325,69240377,124677930,1606,2108
강서구,2023,57399061,75471655,131737726,1518,2112
관악구,2017,58522259,47274361,106839709,1251,1659
관악구,2018,64154110,49567059,115789222,1300,1717
관악구,2019,62679630,49981309,114609491,1363,1755
관악구,2020,59380133,52042673,112195062,1444,1819
관악구,2021,59938295,57414318,117732975,1419,1829
관악구,2022,90091326,84730237,174329366,1172,1535
관악구,2023,89282463,90765352,178524880,980,1252
광진구,2017,56021693,53015763,110309576,1064,1441
광진구,2018,61591494,54403972,118299251,1108,1474
광진구,2019,56806653,49229025,108131235,973,1316
광진구,2020,50477713,44256297,95597457,869,1145
광진구,2021,52344055,50935668,103786731,922,1216
광진구,2022,33239859,64689981,97556854,708,966
광진구,2023,34810487,69507925,103444563,717,899
구로구,2017,61730016,63137560,126087153,1433,1960
구로구,2018,68138758,69329390,139711220,1532,2129
구로구,2019,65560537,67532329,135186170,1529,2096
구로구,2020,57569448,58972343,117361546,1325,1810
구로구,2021,59125809,60640991,120285412,1350,1729
구로구,2022,56946369,55761508,112366377,1274,1691
구로구,2023,59418318,60013562,118418831,1359,1840
금천구,2017,52439229,56663267,110486596,824,1228
금천구,2018,59076144,59897244,121416526,932,1326
금천구,2019,56265909,60313788,118834521,920,1353
금천구,2020,49934066,51635372,102629749,810,1084
금천구,2021,51129545,58742389,110529450,827,1167
금천구,2022,45064241,20359752,65283441,844,1152
금천구,2023,46169959,21372927,66972935,876,1232
노원구,2017,62334821,56430054,119765130,1499,2055
노원구,2018,68248982,63516214,133774099,1569,2227
노원구,2019,68033928,65428401,135416875,1703,2302
노원구,2020,59406924,57676507,117742648,1462,2016
노원구,2021,59637593,60144001,120069391,1413,1940
노원구,2022,50555099,57060229,107270696,1384,1913
노원구,2023,51725806,61347805,112105094,1366,1869
도봉구,2017,54236327,48270433,103819647,945,1230
도봉구,2018,57103454,43828368,103226953,824,1061
도봉구,2019,54942103,47099481,104159711,852,1163
도봉구,2020,48497141,42247887,91628892,741,990
도봉구,2021,47078062,39892395,87452821,591,768
도봉구,2022,38905312,26899465,65646193,522,705
도봉구,2023,39783331,28322188,67530479,530,685
동대문구,2017,66725753,72322072,140603082,1705,2100
동대문구,2018,71376647,75195353,149102021,1699,2160
동대문구,2019,66624926,69484049,138438050,1565,1988
동대문구,2020,60022227,65440567,126529397,1448,1845
동대문구,2021,60203543,63468082,124403772,1390,1656
동대문구,2022,63277797,34763333,97840816,1534,1843
동대문구,2023,67438414,37822813,104373061,1674,2039
동작구,2017,61336399,69067170,131626563,1409,2043
동작구,2018,66393606,64228317,132931642,1412,1892
동작구,2019,63560728,68061266,133693288,1406,2021
동작구,2020,57356360,61909809,120124807,1307,1819
동작구,2021,55865200,56816495,113167800,1148,1520
동작구,2022,62544046,51341245,113578826,1217,1651
동작구,2023,62445020,55770194,117226430,1242,1668
마포구,2017,68319715,93283914,162926577,1841,2752
마포구,2018,70483411,83493026,156307944,1671,2429
마포구,2019,65111047,73087364,140350488,1494,2123
마포구,2020,56888510,61526342,119314104,1272,1754
마포구,2021,55049198,60494473,115994988,1102,1573
마포구,2022,64501321,91715402,155648323,1065,1483
마포구,2023,68375086,103282325,170206303,1250,1715
서대문구,2017,55640999,56568191,113546880,1032,1430
서대문구,2018,60518076,56233840,119113542,1033,1403
서대문구,2019,59141724,62391739,123703854,1113,1609
서대문구,2020,51553506,50955910,103449506,928,1256
서대문구,2021,52643295,53518188,106753899,930,1206
서대문구,2022,68045050,32743155,100581070,974,1303
서대문구,2023,72292065,36583693,107958673,916,1220
서초구,2017,76453491,113311198,191065037,2361,3548
서초구,2018,83275208,116612122,202266642,2478,3640
서초구,2019,79792185,112964487,194983012,2418,3530
서초구,2020,72642672,98041424,171754269,2250,3075
서초구,2021,71460911,98567346,170678783,2118,2932
서초구,2022,78177315,117030671,194508282,2264,3391
서초구,2023,78646461,127351064,204270647,2168,3319
성동구,2017,56475531,59765492,117618273,1080,1497
성동구,2018,62328471,61709034,126438681,1143,1561
성동구,2019,58993168,57374353,118624438,1091,1439
성동구,2020,54784065,59291405,115123420,1119,1481
성동구,2021,54816269,59964325,115457919,1057,1362
성동구,2022,34151994,64039405,97791242,948,1222
성동구,2023,35237738,70179473,104509364,919,1221
성북구,2017,63765966,64973931,129994832,1557,2068
성북구,2018,66392532,63836280,132425157,1427,1980
성북구,2019,65254435,63375474,130721841,1509,2007
성북구,2020,56835820,51321357,108992807,1275,1622
성북구,2021,58034922,55176906,113693549,1285,1606
성북구,2022,76316961,43087509,119138898,1288,1626
성북구,2023,79360716,46809567,125105605,1256,1581
송파구,2017,82389399,101725119,185225430,2758,3805
송파구,2018,88864239,105616653,196620345,2860,3932
송파구,2019,86744491,106363845,195056439,2892,4003
송파구,2020,77347938,91280454,169325504,2595,3509
송파구,2021,78578499,95998192,174921146,2607,3509
송파구,2022,67418612,104237095,171041919,2581,3594
송파구,2023,69881992,115254858,183549122,2614,3603
양천구,2017,60193172,54981767,116330048,1343,1789
양천구,2018,66381106,60743365,129302997,1428,1939
양천구,2019,65064732,65281571,132374258,1506,2085
양천구,2020,57792479,57553756,116126745,1344,1829
양천구,2021,58249867,57258181,115944825,1305,1692
양천구,2022,49935376,33122740,82849173,1165,1529
양천구,2023,51700387,35246813,86210895,1221,1624
영등포구,2017,77109682,115720878,194257193,2386,3519
영등포구,2018,83817450,115672099,202010869,2493,3532
영등포구,2019,80386271,112579470,195314534,2439,3451
영등포구,2020,71961496,101434784,174464871,2208,3102
영등포구,2021,72565475,100895315,174187054,2178,2967
영등포구,2022,69249142,91456080,160125278,1998,2707
영등포구,2023,72385610,100245702,171180808,1900,2619
용산구,2017,61485079,81067138,144096492,1378,1996
용산구,2018,65606866,76541147,144719932,1330,1852
용산구,2019,60764922,68379434,131536200,1187,1614
용산구,2020,51271983,54796319,107166092,890,1178
용산구,2021,54254916,65018727,120016042,1014,1369
용산구,2022,50522621,39275251,89569077,1014,1330
용산구,2023,54008198,44224352,97412363,996,1366
은평구,2017,55551508,45007055,101573661,1067,1489
은평구,2018,61474719,48525750,112045225,1134,1580
은평구,2019,58784518,43936309,104648324,1119,1464
은평구,2020,51194178,43617447,95383433,953,1415
은평구,2021,50876504,41404251,92491883,867,1218
은평구,2022,61785742,48786154,110277584,918,1256
은평구,2023,63339506,51824450,114189970,1039,1353
종로구,2017,58794379,77860591,138331770,1190,1689
종로구,2018,62777954,73554834,139032257,1134,1546
종로구,2019,60184903,73470051,136185433,1133,1559
종로구,2020,51780892,63223494,116258412,903,1224
종로구,2021,50739032,62131242,113715671,778,1050
종로구,2022,67437230,89060469,163685389,974,1351
종로구,2023,70681807,100757777,176420440,988,1331
중구,2017,60024962,79633320,141454405,1252,1684
중구,2018,62826608,74423870,140019180,1128,1506
중구,2019,61132874,77223322,140958181,1184,1615
중구,2020,52778193,65690023,119807472,955,1248
중구,2021,52061289,67207605,120177381,854,1156
중구,2022,45734613,120418388,165400026,943,1212
중구,2023,48724105,144621600,191695215,931,1194
중랑구,2017,65217667,73727945,140285674,1639,2228
중랑구,2018,68837390,71703069,142869914,1565,2135
중랑구,2019,67291125,70577077,140101697,1620,2122
중랑구,2020,59722811,66060344,126717011,1447,1952
중랑구,2021,59538905,66367492,126456907,1373,1826
중랑구,2022,46030861,31840864,77677587,1401,1890
중랑구,2023,48355628,33835338,81493710,1268,1704
